Genoma,Total_kmers,Real_HH,Phi,Threshold,Algoritmo,Precision,Recall,F1_Score,TP,FP,FN,TN,Memory_MB,Mean_Abs_Error,Mean_Rel_Error
GCA_006152045.1_ASM615204v1_genomic.fna,3183595,2,4.4e-06,7,CountSketch,6.28221e-07,1,1.25644e-06,2,3183593,0,0,57.2205,44.5,1.81331
GCA_006152045.1_ASM615204v1_genomic.fna,3183595,2,4.4e-06,7,TowerSketch,6.28235e-07,1,1.25647e-06,2,3183518,0,75,67,22.5,0.930195
GCA_018421455.1_ASM1842145v1_genomic.fna,3180696,47,4.4e-06,7,CountSketch,1.47766e-05,1,2.95528e-05,47,3180649,0,0,57.2205,33.8298,2.31318
GCA_018421455.1_ASM1842145v1_genomic.fna,3180696,47,4.4e-06,7,TowerSketch,1.47769e-05,1,2.95534e-05,47,3180589,0,60,67,13.3404,0.899409
GCA_020118255.1_ASM2011825v1_genomic.fna,3116311,3,4.4e-06,6,CountSketch,9.62677e-07,1,1.92535e-06,3,3116308,0,0,57.2205,50,2.11432
GCA_020118255.1_ASM2011825v1_genomic.fna,3116311,3,4.4e-06,6,TowerSketch,9.62681e-07,1,1.92536e-06,3,3116293,0,15,67,30.3333,1.28289
GCA_021919605.1_PDT001092240.1_genomic.fna,3105871,139,4.4e-06,6,CountSketch,4.4754e-05,1,8.95039e-05,139,3105732,0,0,57.2205,29.1942,4.40494
GCA_021919605.1_PDT001092240.1_genomic.fna,3105871,139,4.4e-06,6,TowerSketch,4.47545e-05,1,8.9505e-05,139,3105694,0,38,67,10.3381,1.45646
GCA_021953145.1_PDT001020446.1_genomic.fna,3208053,108,4.4e-06,7,CountSketch,3.36653e-05,1,6.73283e-05,108,3207945,0,0,57.2205,35.8519,3.5621
GCA_021953145.1_PDT001020446.1_genomic.fna,3208053,108,4.4e-06,7,TowerSketch,3.36659e-05,1,6.73296e-05,108,3207884,0,61,67,15.1481,1.50137
GCA_021972575.1_PDT001013406.1_genomic.fna,3258685,0,4.4e-06,7,CountSketch,0,0,0,0,3258685,0,0,57.2205,0,0
GCA_021972575.1_PDT001013406.1_genomic.fna,3258685,0,4.4e-06,7,TowerSketch,0,0,0,0,3258618,0,67,67,0,0
GCA_022062785.1_PDT000876120.1_genomic.fna,3271426,1,4.4e-06,7,CountSketch,3.05677e-07,1,6.11354e-07,1,3271425,0,0,57.2205,49,1.58065
GCA_022062785.1_PDT000876120.1_genomic.fna,3271426,1,4.4e-06,7,TowerSketch,3.05684e-07,1,6.11368e-07,1,3271348,0,77,67,24,0.774194
GCA_023315275.2_PDT001299634.2_genomic.fna,3094360,44,4.4e-06,6,CountSketch,1.42194e-05,1,2.84384e-05,44,3094316,0,0,57.2205,46.9545,3.32729
GCA_023315275.2_PDT001299634.2_genomic.fna,3094360,44,4.4e-06,6,TowerSketch,1.42197e-05,1,2.8439e-05,44,3094249,0,67,67,27.7955,1.95556
GCA_024452925.1_PDT001370221.1_genomic.fna,3195208,130,4.4e-06,7,CountSketch,4.06859e-05,1,8.13685e-05,130,3195078,0,0,57.2205,31.7615,2.40404
GCA_024452925.1_PDT001370221.1_genomic.fna,3195208,130,4.4e-06,7,TowerSketch,4.0687e-05,1,8.13707e-05,130,3194992,0,86,67,11.5462,0.866653
GCA_024732165.1_PDT001378927.1_genomic.fna,3243369,1,4.4e-06,7,CountSketch,3.08321e-07,1,6.16643e-07,1,3243368,0,0,57.2205,48,1.54839
GCA_024732165.1_PDT001378927.1_genomic.fna,3243369,1,4.4e-06,7,TowerSketch,3.08328e-07,1,6.16656e-07,1,3243298,0,70,67,24,0.774194
GCA_026006075.1_ASM2600607v1_genomic.fna,3186520,141,4.4e-06,7,CountSketch,4.42489e-05,1,8.84939e-05,141,3186379,0,0,57.2205,34.7305,2.80018
GCA_026006075.1_ASM2600607v1_genomic.fna,3186520,141,4.4e-06,7,TowerSketch,4.425e-05,1,8.8496e-05,141,3186301,0,78,67,14.9433,1.22437
GCA_026006095.1_ASM2600609v1_genomic.fna,3187007,162,4.4e-06,7,CountSketch,5.08314e-05,1,0.000101658,162,3186845,0,0,57.2205,32.6975,2.60913
GCA_026006095.1_ASM2600609v1_genomic.fna,3187007,162,4.4e-06,7,TowerSketch,5.0833e-05,1,0.000101661,162,3186747,0,98,67,12.4259,0.99255
GCA_026305215.1_PDT001493239.1_genomic.fna,3251580,0,4.4e-06,7,CountSketch,0,0,0,0,3251580,0,0,57.2205,0,0
GCA_026305215.1_PDT001493239.1_genomic.fna,3251580,0,4.4e-06,7,TowerSketch,0,0,0,0,3251512,0,68,67,0,0
GCA_031045075.2_PDT001744190.2_genomic.fna,3195856,76,4.4e-06,7,CountSketch,2.37808e-05,1,4.75605e-05,76,3195780,0,0,57.2205,32.7237,2.749
GCA_031045075.2_PDT001744190.2_genomic.fna,3195856,76,4.4e-06,7,TowerSketch,2.37812e-05,1,4.75612e-05,76,3195732,0,48,67,12.8421,1.11022
GCA_032567175.1_ASM3256717v1_genomic.fna,1729765,310,4.4e-06,3,CountSketch,0.000179215,1,0.000358366,310,1729455,0,0,57.2205,15.8,4.15683
GCA_032567175.1_ASM3256717v1_genomic.fna,1729765,310,4.4e-06,3,TowerSketch,0.000179263,1,0.000358462,310,1728993,0,462,67,5.52903,1.36937
GCA_033106465.1_PDT001960943.1_genomic.fna,3230527,1,4.4e-06,7,CountSketch,3.09547e-07,1,6.19094e-07,1,3230526,0,0,57.2205,48,1.54839
